Calibrage IA profilee,AG deduite globale,Ra deduite Globale,Taux similarite,NbParties gagnees scenarios,Argent gagne scenarios,Nb parties gagnees apres scenarios,Argent gagne apres scenarios
55-93,57.6224,58.8348,81.6062,47,-41,66,45
48-72,48.4,60.8781,94.239,53,-2,63,66
44-85,69.629,58.4363,73.9037,40,38,57,-69
51-96,44.806,66.6413,82.2236,75,202,53,-45
58-86,63.585,66.9779,87.6964,60,111,50,-58
59-61,41.1963,68.115,87.5407,65,-11,67,62
46-68,41.4251,57.7787,92.6019,40,28,70,-39
59-81,43.1032,66.8997,85.0015,55,12,43,-117
45-78,45.0905,63.3114,92.6105,60,125,47,-2
47-68,59.1472,65.846,92.8494,50,53,68,121
52-65,36.3368,72.6496,88.3436,40,-28,63,7
46-100,46.2929,71.0311,85.3691,55,120,67,32
49-96,49.0258,72.711,88.3426,45,-45,43,-40
54-84,45.1959,68.2563,87.7261,80,252,50,10
49-64,38.9039,74.2411,89.8314,40,3,70,34
58-67,34.6165,69.9592,86.8286,55,129,60,-157
50-88,57.8009,65.1496,84.6744,40,82,50,-31
52-87,37.7297,75.3465,87.0381,60,92,70,-5
56-65,65.1337,65.3249,95.2707,40,-16,43,-79
57-72,44.8607,69.0801,92.4704,50,16,37,-68
45-76,42.4634,60.7474,91.1054,73,70,63,62
57-75,44.3159,75.1756,93.5702,65,79,43,0
58-66,48.0618,54.1969,89.1294,10,-332,75,72
50-78,53.9339,74.3635,96.2148,55,40,70,5
60-64,48.5145,67.0832,92.7157,45,-63,67,32
55-77,46.6134,65.6996,90.1565,35,-12,50,-14
41-82,44.0205,72.4154,93.6974,55,56,43,-26
52-90,50.2601,56.7184,82.4892,27,-243,69,16
43-64,43.1155,65.2721,99.3062,55,5,60,24
47-97,61.2138,68.1455,78.4658,35,25,73,14
41-63,54.777,65.7487,91.7371,55,148,60,22
45-68,58.1894,65.2626,92.0366,65,89,53,-20
48-87,49.1796,77.2493,94.5348,75,169,43,-59
55-81,42.3452,71.7733,89.0593,35,-61,43,-10
47-99,41.3269,72.4036,83.8653,70,40,43,-14
59-99,43.8396,72.0718,78.9557,60,94,47,12
43-62,49.6875,68.803,93.2548,75,153,57,22
59-67,59.2378,66.8042,99.7832,53,75,77,50
42-81,50.2548,65.4402,88.0927,70,80,53,-46
51-93,48.8194,72.8307,88.825,30,-123,50,0
54-76,43.9169,60.5799,87.2484,40,-78,66,-12
41-80,37.2575,65.0561,90.6568,50,36,68,4
46-67,40.1146,69.6345,95.7401,45,46,53,16
49-69,46.7209,56.7337,92.7273,50,-85,75,65
60-98,36.6403,69.7526,74.1964,40,-115,47,-91
42-66,49.5237,57.5335,92.0049,65,188,63,14
57-91,42.2636,58.1062,76.1849,10,-123,78,110
48-94,37.2756,75.3261,85.3009,55,97,67,65
,,,,,,,
,,,,51,"28,6458333333","58,1875","-0,4166666667"
